name;Цена;Порционность;;;Белки;Жиры;Углеводы;Витамин C;Витамин B1;Витамин E;Витамин B3 (PP);Железо;Витамин А;Натрий;Магний;Витамин B2;Калорийность;Калий;Кальций;Фосфор;Холестерин;Клетчатка
Морковь;1;1,25;1;4;1,3;0,1;6,9;5;0,06;0,4;1,1;0,7;2000;21;38;0,07;35;200;27;55;0;2,4
Огурец;6;1,3;1;3;0,8;0,1;2,5;10;0,03;0,1;0,3;0,6;10;8;14;0,04;14;141;23;42;0;1
Помидор (томат);4,5;1,3;1;3;1,1;0,2;3,8;25;0,06;0,7;0,7;0,9;133;3;20;0,04;24;290;14;26;0;1,4
Картофель вареный;2,1;0;2;4;2;0,4;15,8;14,5;0,1;0,1;1,5;0,8;3;95;22;0,06;75;499;12;54;0;1,4
Апельсин;4;1,25;1;2;0,9;0,2;8,1;60;0,04;0,2;0,3;0,3;8;13;13;0,03;43;197;34;23;0;2,2
Банан;4;1,2;1;3;1,5;0,5;21;10;0,04;0,4;0,9;0,6;20;31;42;0,05;96;348;8;28;0;1,7
Брусника;15;0;1,4;3;0,7;0,5;8,2;15;0,01;1;0,3;0,4;8;7;7;0,02;46;90;25;16;0;2,5
Вишня;4,1;0;1,4;3;0,8;0,2;10,6;15;0,03;0,3;0,5;0,5;17;20;26;0,03;52;256;37;30;0;1,8
Груша;5;1,3;1;4;0,4;0,3;10,3;5;0,02;0,4;0,2;2,3;2;14;12;0,03;47;155;19;16;0;2,8
Земляника;8;0;1,4;3;0,8;0,4;7,5;60;0,03;0,5;0,4;1,2;5;18;18;0,05;41;161;40;23;0;2,2
Клюква;10;0;1,4;3;0,5;0,2;3,7;15;0,02;1;0,3;0,6;0;1;15;0,02;28;119;14;11;0;3,3
Малина;13;0;1,4;3;0,8;0,5;8,3;25;0,02;0,6;0,7;1,2;33;10;22;0,05;46;224;40;37;0;3,7
Мандарин;4;1,5;1;5;0,8;0,2;7,5;38;0,08;0,1;0,3;0,1;7;12;11;0,03;38;155;35;17;0;1,9
Облепиха;7;0;1,4;3;1,2;5,4;5,7;200;0,03;5;0,5;1,4;250;4;30;0,05;82;193;22;9;0;2
Персик;5;0;1,4;3;0,9;0,1;9,5;10;0,04;1,1;0,8;0,6;83;30;16;0,08;45;363;20;34;0;2,1
Слива;10;0,4;2;6;0,8;0,3;9,6;10;0,06;0,6;0,7;0,5;17;18;9;0,04;49;214;20;20;0;1,5
Смородина белая;1,25;0;1,4;3;0,5;0,2;8;40;0,01;0,3;0,3;0,5;7;2;9;0,02;42;270;36;23;0;3,4
Смородина красная;1,25;0;1,4;3;0,6;0,2;7,7;25;0,01;0,5;0,3;0,9;33;21;17;0,03;43;275;36;33;0;3,4
Смородина чёрная;1,25;0;1,4;3;1;0,4;7,3;200;0,03;0,7;0,4;1,3;17;32;31;0,04;44;350;36;33;0;4,8
